x	y	label	showSelected1	group
1950	18	13	OK	1
1951	37	32	OK	1
1952	20	15	OK	1
1953	39	34	OK	1
1954	49	44	OK	1
1955	70	65	OK	1
1956	45	40	OK	1
1957	100	95	OK	1
1958	30	25	OK	1
1959	56	51	OK	1
1960	63	58	OK	1
1961	52	47	OK	1
1962	53	48	OK	1
1963	26	21	OK	1
1964	44	39	OK	1
1965	63	58	OK	1
1966	32	27	OK	1
1967	40	35	OK	1
1968	46	41	OK	1
1969	30	25	OK	1
1970	38	33	OK	1
1971	35	30	OK	1
1972	32	27	OK	1
1973	50	45	OK	1
1974	32	27	OK	1
1975	19	14	OK	1
1976	22	17	OK	1
1977	42	37	OK	1
1978	17	12	OK	1
1979	41	36	OK	1
1980	20	15	OK	1
1981	62	57	OK	1
1982	74	69	OK	1
1983	76	71	OK	1
1984	50	45	OK	1
1985	32	27	OK	1
1986	30	25	OK	1
1987	17	12	OK	1
1988	11	6	OK	1
1989	15	10	OK	1
1990	30	25	OK	1
1991	46	41	OK	1
1992	41	36	OK	1
1993	54	49	OK	1
1994	34	29	OK	1
1995	61	56	OK	1
1996	55	50	OK	1
1997	62	57	OK	1
1998	90	85	OK	1
1999	148	143	OK	1
2000	49	44	OK	1
2001	66	61	OK	1
2002	23	18	OK	1
2003	86	81	OK	1
2004	67	62	OK	1
2005	32	27	OK	1
2006	35	30	OK	1
2007	55	50	OK	1
2008	76	71	OK	1
2009	40	35	OK	1
2010	109	104	OK	1
2011	127	122	OK	1
2012	68	63	OK	1
1950	7	2	FL	2
1951	10	5	FL	2
1952	9	4	FL	2
1953	19	14	FL	2
1954	13	8	FL	2
1955	10	5	FL	2
1956	12	7	FL	2
1957	14	9	FL	2
1958	22	17	FL	2
1959	13	8	FL	2
1960	26	21	FL	2
1961	14	9	FL	2
1962	18	13	FL	2
1963	20	15	FL	2
1964	30	25	FL	2
1965	12	7	FL	2
1966	20	15	FL	2
1967	21	16	FL	2
1968	40	35	FL	2
1969	40	35	FL	2
1970	26	21	FL	2
1971	21	16	FL	2
1972	15	10	FL	2
1973	15	10	FL	2
1974	36	31	FL	2
1975	65	60	FL	2
1976	50	45	FL	2
1977	30	25	FL	2
1978	58	53	FL	2
1979	61	56	FL	2
1980	31	26	FL	2
1981	35	30	FL	2
1982	17	12	FL	2
1983	36	31	FL	2
1984	9	4	FL	2
1985	12	7	FL	2
1986	8	3	FL	2
1987	7	2	FL	2
1988	10	5	FL	2
1989	8	3	FL	2
1990	20	15	FL	2
1991	24	19	FL	2
1992	35	30	FL	2
1993	47	42	FL	2
